Year,Brazil,Switzerland,China,Germany,United Kingdom,Japan,United States
2000,1.18642E+12,5.29838E+11,2.77011E+12,2.83548E+12,2.29201E+12,3.98676E+12,1.37177E+13
2001,1.20291E+12,5.38186E+11,3.00102E+12,2.88316E+12,2.35111E+12,4.00215E+12,1.38488E+13
2002,1.23964E+12,5.37792E+11,3.27512E+12,2.87745E+12,2.39324E+12,4.00383E+12,1.40842E+13
2003,1.25378E+12,5.37618E+11,3.60388E+12,2.85731E+12,2.46855E+12,4.06529E+12,1.4478E+13
2004,1.326E+12,5.52143E+11,3.96837E+12,2.89088E+12,2.52845E+12,4.15416E+12,1.50351E+13
2005,1.36846E+12,5.67325E+11,4.42054E+12,2.91203E+12,2.5977E+12,4.2291E+12,1.55588E+13
2006,1.42268E+12,5.90436E+11,4.98288E+12,3.02317E+12,2.65968E+12,4.28714E+12,1.59921E+13
2007,1.50903E+12,6.1356E+11,5.69199E+12,3.11315E+12,2.72938E+12,4.35076E+12,1.63125E+13
2008,1.58591E+12,6.30788E+11,6.2413E+12,3.14304E+12,2.72322E+12,4.29749E+12,1.63311E+13
2009,1.58391E+12,6.16297E+11,6.8279E+12,2.96408E+12,2.59754E+12,4.05283E+12,1.59103E+13
2010,1.70315E+12,6.36286E+11,7.55411E+12,3.08797E+12,2.65569E+12,4.21891E+12,1.63391E+13
2011,1.77084E+12,6.47822E+11,8.27559E+12,3.20918E+12,2.6861E+12,4.21991E+12,1.65947E+13
2012,1.80486E+12,6.55462E+11,8.92636E+12,3.22261E+12,2.72674E+12,4.27793E+12,1.69746E+13
2013,1.85909E+12,6.67209E+11,9.6196E+12,3.23671E+12,2.77561E+12,4.3637E+12,1.73341E+13
2014,1.86846E+12,6.82887E+11,1.03339E+13,3.30823E+12,2.86432E+12,4.37663E+12,1.77715E+13
2015,1.80221E+12,6.94118E+11,1.10616E+13,3.35759E+12,2.92791E+12,4.44493E+12,1.8295E+13
2016,1.74317E+12,7.08477E+11,1.18192E+13,3.43246E+12,2.98416E+12,4.47844E+12,1.86279E+13
2017,1.76623E+12,7.18132E+11,1.26403E+13,3.52446E+12,3.06339E+12,4.55347E+12,1.90857E+13
2018,1.79774E+12,7.38674E+11,1.34934E+13,3.55904E+12,3.10639E+12,4.58276E+12,1.96519E+13
2019,1.81968E+12,7.4711E+11,1.42964E+13,3.59732E+12,3.15739E+12,4.56433E+12,2.01367E+13
2020,1.76006E+12,7.31109E+11,1.46164E+13,3.45966E+12,2.83029E+12,4.37504E+12,1.9691E+13
2021,1.84388E+12,7.70529E+11,1.58513E+13,3.56911E+12,3.07581E+12,4.48702E+12,2.08331E+13
2022,1.89951E+12,7.90319E+11,1.63251E+13,3.63358E+12,3.20946E+12,4.52985E+12,2.12363E+13
2023,1.95475E+12,7.95978E+11,1.7174E+13,3.6225E+12,3.2128E+12,4.61697E+12,2.17763E+13